objectid,filename,title,description,creator,subject,date,formato_fisico,awards,track_count,duration,tracks,format
item001,item001.jpg,Un verano sin ti,"Lanzado en 2022, este álbum redefinió la música latina global convirtiéndose en la banda sonora absoluta del verano eterno. Benito se aleja del trap oscuro para abrazar los sonidos caribeños, fusionando reguetón, merengue y mambo con una estética relajada y melancólica.
A través de sus 23 canciones, el disco funciona como una playlist perfecta que transita entre la fiesta y la soledad. Incluye himnos generacionales como 'Tití me preguntó', 'Me porto bonito' y 'Moscow Mule', consolidando al puertorriqueño como el artista número uno del mundo.",Bad Bunny,Reggaetón;Pop latino;Alt. urbano,2022,Digital;CD,2 Latin Grammys y 1 Grammy (Mejor Álbum de Música Urbana),23,1:21h,Moscow Mule;Después de la Playa;Me porto Bonito;Tití Me Preguntó;Un Ratito;Yo No Soy Celoso;Tarot;Neverita;La Corriente;Efecto;Party;Aguacero;Enséñame a Bailar;Ojitos Lindos;Dos Mil 16;El Apagón;Otro Atardecer;Un Coco;Andrea;Me Fui de Vacaciones;Un Verano Sin Ti;Agosto;Callaita,image/jpeg
item002,item002.jpg,Descanso en Poder,"Publicado en 2020, este trabajo conceptual marcó un antes y un después en la carrera del granadino, presentándose como un falso retiro musical. Es una obra madura donde perfecciona su fórmula única de 'música folklórica atemporal' mezclada con autotune y sonidos urbanos.
El álbum destaca por su introspección y emotividad, alejándose de las tendencias vacías para ofrecer letras profundas sobre la familia, el éxito y la raíz. Canciones como 'La Recomienda' o 'Yalo Yale' demuestran por qué Dellafuente es una figura de culto en la escena española.",Dellafuente,Flamenco urbano;Trap;Fusión,2020,Digital;CD;Vinilo,Mejor debut español en streaming (2020) Spotify España,10,27:30min,Intro;Toco El Cielo;Yalo Yale;La Recomellía;Saturación;Palante y Patrás;Flores Pa Tu Pelo;Libertad y Salud;Pa Que No Te Duermas;Nubes,image/jpeg
item003,item003.jpg,Pretty Boy Dirty Boy,"El segundo álbum de estudio del colombiano, lanzado en 2015, fue el catalizador que lo transformó en una superestrella internacional. El concepto juega con la dualidad de su personalidad: el lado romántico y pop ('Pretty Boy') frente al lado seductor y callejero ('Dirty Boy').
Este disco definió el sonido del pop urbano de la década, entregando éxitos masivos como 'Borro Cassette', 'El Perdedor' y 'Sin Contrato'. Es la mezcla perfecta de baladas pegadizas y reguetón comercial que abrió las puertas del mercado global a Maluma.",Maluma,Pop latino;Reggaetón,2015,Digital;CD;Vinilo,Disco de Diamante (Latin) en EE.UU,16,55:56min,Borró Cassette;¿Dónde Estás?;El Perdedor;Me Gustas;Sin Contrato;Una Aventura;Tengo Un Amor;Pretextos;Ya No Es Niña;Solos;Tu Cariño;Recúerdame;La Misma Moneda;Vuelo Hacia el Olvido;El Tiki Lyrics;Carnaval,image/jpeg
item004,item004.jpg,ISLAND BOYZ,"Lanzado a mediados de 2025, este álbum supone el regreso triunfal de Myke Towers a sus raíces más tropicales y caribeñas, alejándose de la dureza del trap para ofrecer un sonido diseñado para el verano y la costa.
El proyecto destaca por fusionar el reguetón clásico con afrobeats y ritmos relajados, como se escucha en colaboraciones estelares como 'Soleao' (junto a Quevedo) o 'Rica Bebe' (con De La Ghetto). Un disco luminoso que busca conectar con la fiesta y la buena vibra sin perder la lírica afilada del Young King.",Myke Towers,Trap latino;Reggaetón,2025,Digital;CD,Disco de Platino (Latin) en EE.UU. (RIAA),23,1:15h,LA DESPEDIDA;JETSKO;SUNBLOCK;EL GISTRO;SURFERITA;ME HACES FALTA;NO HAY BREAK;TENGO CELOS;EXPECTATIVAS;DE GYM;SOLEAO;BUCHANANS 18;MAR ABIERTO;POR UN QLO ASÍ;SEÑORA;RICA BEBÉ;SE REVELÓ;NO QUIERE FLORES;FREAKY;PIÑA COLADA / LAS PALMAS;100 COPAS;MONÓTONO;ISLA,image/jpeg
item005,item005.jpg,SATURNO,"Estrenado en 2022, es un viaje experimental hacia el espacio exterior y los sonidos de los años 90. Rauw rompe con el reguetón convencional para apostar por el Miami bass, el freestyle y la electrónica, creando una estética retro-futurista única.
El álbum es una experiencia inmersiva llena de energía, diseñada para pistas de baile de otra galaxia. Temas como 'Punto 40', 'Lokera' y 'Ron Cola' demuestran su capacidad para reinventarse y liderar la vanguardia del género urbano.",Rauw Alejandro,Pop urbano;Synthwave;Reggaetón,2017,Digital;CD,Disco de Platino en España (PROMUSICAE),18,1:03h,SATURNO;PUNTO 40;MÁS DE UNA VEZ;LEJOS DEL CIELO;DEJAU';GATAS;PANTIES Y BRASIERES;CAZADORES;DECA'A LAS VEGAS (INTERLUDE);QUÉ RICO CH**GAMOS;RON COLA;NO ME SUELTES;VERDE MENTA;CORAZÓN DESPEINADO;DIME QUIÉN????;RAULEETO (Skit);DE CAROLINA;LOKERA,image/jpeg
item006,item006.jpg,La Madrugá,"Un proyecto íntimo y conceptual que captura la esencia de la noche y la melancolía del barrio de El Palo. Delaossa utiliza este EP para explorar sus miedos y ambiciones con una honestidad brutal, acompañado de producciones atmosféricas y elegantes.
Aunque breve, es una pieza fundamental para entender la profundidad lírica del malagueño. Canciones como 'Veneno' muestran su habilidad para narrar historias cotidianas cargadas de sentimiento, consolidándolo como uno de los mejores letristas de su generación.",Delaossa,Hip-hop;Rap español,2025,Digital;Vinilo,#2 Debut Mundial en Spotify (2025 Spotify),17,57:49min,Un Gran Sueño;2 The Sky;Rey;Si Tu Supieras;La Barra Del Bar;Vulnerable;Bling Bling;Elíseos;Ángel;Cuánto Falta;Demonios De Blanco;Mariposas Rojas;Limón y Sal;Nueva Season;Still Luvin;Estrella;Otro Amanecer,image/jpeg
item007,item007.jpg,Sauce Boyz 2,"Publicado a finales de 2021, es la obra magna que coronó a Eladio como el rey del trap en español. Un disco extenso y versátil donde el artista demuestra que puede fluir sobre cualquier ritmo, desde el drill más agresivo hasta el synth-pop o el reguetón.
La lista de colaboradores es de primer nivel (Karol G, Bad Bunny, Rels B), pero es la personalidad y el 'barranqueo' de Eladio lo que brilla. Himnos como 'Jóvenes Millonarios' o 'Mbappé' son prueba de su dominio técnico y su estatus en la escena internacional.",Eladio Carrión,Trap latino;Rap,2021,Digital,Disco de Platino en España (PROMUSICAE),22,1:06h,Par de Tenis;Claro Cristal;No Te Deseo El Mal;Flores En Anónimo;Fuego;Miradas Raras;Me Gustas Natural;Quienes Son Ustedes;Alejarme de Ti;Gastar;Hola Como Vas;Sin Frenos;Socio;Jóvenes Millonarios;No Me Importa Un Carajo;Mami Dijo;Cheque;Como Sea;Primera Vez;Cuarentena;Touch Your Body;Sauce Boy (Freestyle 5),image/jpeg
item008,item008.jpg,Lo Mejor De Lo Peor,"Lanzado en 2019, este álbum es una cátedra de estilo y códigos callejeros por parte de uno de los padres del trap en España. Kaydy Cain se aleja de la radiofórmula para entregar un sonido crudo, real y fiel a la esencia del 'barrio'.
Es un disco que celebra la lealtad y critica la falsedad de la industria, mezclando ritmos de reguetón clásico, salsa y trap. Temas como 'Mentiroso' o 'Algo como tú' mantienen viva la llama de Pxxr Gvng con una producción que suena a calle y autenticidad.",Kaydy Cain,Trap;Reggaetón;Dancehall,2019,Digital,"Álbum de Culto del Trap Español",11,37:21min,Más Dinero Que Fe;Mentiroso;Lobo y Loba;Si Lo Repartes Crece;Mamá;Soy un G;Estoy Recordando;Algo Como Tú;El Otro;Lo Mejor de Lo Peor;Si No Estoy,image/jpeg
item009,item009.jpg,Keoland,"El álbum que definió la estética 'Rockstar' de Kidd Keo en 2018. Fue una apuesta arriesgada que introdujo un sonido trap internacional, caracterizado por el uso del Spanglish y unos bajos potentes diseñados para retumbar en festivales.
Más allá de la controversia, el disco cimentó su base de fans global y su estilo único. Tracks icónicos como 'Superstars' o 'Pitbull' muestran la energía explosiva y la actitud desafiante que convirtieron a Keo en un referente del trap duro en Europa.",Kidd Keo,Trap;Hip-hop,2018,Digital,Hito en Listas (Top 59 en listas de España),7,24:40min,One;Dbtrap;#Freetag;Skrr;Flashback;Never Knew How to Love;Miss U,image/jpeg
item010,item010.jpg,Lágrimas desordenadas,"Publicado el 13 de noviembre de 2012, 'Lágrimas desordenadas' supone la reinvención del artista asturiano, dejando atrás su etapa más 'canalla' para abrazar un sonido más sofisticado y rockero.
A través de sus 11 canciones, Melendi combina baladas románticas con letras cargadas de ironía y crítica social, destacando éxitos masivos que definieron su nueva etapa musical como 'Tu jardín con enanitos'.",Melendi,Pop;Pop-rock español,2012,Digital;CD;Vinilo,Triple Disco de Platino en España,11,45:27min,Tu Jardín Con Enanitos;Lagrimas Desordenadas;Cheque Al Portamor;Tu Lista De Enemigos;Aprendiz de Caballero;Autofotos;Mi Primer Beso;La Tortura De Lyss;De Pequeño Fue El Coco;Gatos Celestes;De Repente Desperté,image/jpeg
