title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,reference_url
"Un verano sin ti","Bad Bunny","2022","Lanzado en 2022, este álbum redefinió la música latina global convirtiéndose en la banda sonora absoluta del verano eterno. Benito se aleja del trap oscuro para abrazar los sonidos caribeños, fusionando reguetón, merengue y mambo con una estética relajada y melancólica.
A través de sus 23 canciones, el disco funciona como una playlist perfecta que transita entre la fiesta y la soledad. Incluye himnos generacionales como &#39;Tití me preguntó&#39;, &#39;Me porto bonito&#39; y &#39;Moscow Mule&#39;, consolidando al puertorriqueño como el artista número uno del mundo.","Reggaetón;Pop latino;Alt. urbano","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item001"
"Descanso en Poder","Dellafuente","2020","Publicado en 2020, este trabajo conceptual marcó un antes y un después en la carrera del granadino, presentándose como un falso retiro musical. Es una obra madura donde perfecciona su fórmula única de &#39;música folklórica atemporal&#39; mezclada con autotune y sonidos urbanos.
El álbum destaca por su introspección y emotividad, alejándose de las tendencias vacías para ofrecer letras profundas sobre la familia, el éxito y la raíz. Canciones como &#39;La Recomienda&#39; o &#39;Yalo Yale&#39; demuestran por qué Dellafuente es una figura de culto en la escena española.","Flamenco urbano;Trap;Fusión","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item002"
"Pretty Boy Dirty Boy","Maluma","2015","El segundo álbum de estudio del colombiano, lanzado en 2015, fue el catalizador que lo transformó en una superestrella internacional. El concepto juega con la dualidad de su personalidad: el lado romántico y pop (&#39;Pretty Boy&#39;) frente al lado seductor y callejero (&#39;Dirty Boy&#39;).
Este disco definió el sonido del pop urbano de la década, entregando éxitos masivos como &#39;Borro Cassette&#39;, &#39;El Perdedor&#39; y &#39;Sin Contrato&#39;. Es la mezcla perfecta de baladas pegadizas y reguetón comercial que abrió las puertas del mercado global a Maluma.","Pop latino;Reggaetón","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item003"
"ISLAND BOYZ","Myke Towers","2025","Lanzado a mediados de 2025, este álbum supone el regreso triunfal de Myke Towers a sus raíces más tropicales y caribeñas, alejándose de la dureza del trap para ofrecer un sonido diseñado para el verano y la costa.
El proyecto destaca por fusionar el reguetón clásico con afrobeats y ritmos relajados, como se escucha en colaboraciones estelares como &#39;Soleao&#39; (junto a Quevedo) o &#39;Rica Bebe&#39; (con De La Ghetto). Un disco luminoso que busca conectar con la fiesta y la buena vibra sin perder la lírica afilada del Young King.","Trap latino;Reggaetón","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item004"
"SATURNO","Rauw Alejandro","2017","Estrenado en 2022, es un viaje experimental hacia el espacio exterior y los sonidos de los años 90. Rauw rompe con el reguetón convencional para apostar por el Miami bass, el freestyle y la electrónica, creando una estética retro-futurista única.
El álbum es una experiencia inmersiva llena de energía, diseñada para pistas de baile de otra galaxia. Temas como &#39;Punto 40&#39;, &#39;Lokera&#39; y &#39;Ron Cola&#39; demuestran su capacidad para reinventarse y liderar la vanguardia del género urbano.","Pop urbano;Synthwave;Reggaetón","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item005"
"La Madrugá","Delaossa","2025","Un proyecto íntimo y conceptual que captura la esencia de la noche y la melancolía del barrio de El Palo. Delaossa utiliza este EP para explorar sus miedos y ambiciones con una honestidad brutal, acompañado de producciones atmosféricas y elegantes.
Aunque breve, es una pieza fundamental para entender la profundidad lírica del malagueño. Canciones como &#39;Veneno&#39; muestran su habilidad para narrar historias cotidianas cargadas de sentimiento, consolidándolo como uno de los mejores letristas de su generación.","Hip-hop;Rap español","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item006"
"Sauce Boyz 2","Eladio Carrión","2021","Publicado a finales de 2021, es la obra magna que coronó a Eladio como el rey del trap en español. Un disco extenso y versátil donde el artista demuestra que puede fluir sobre cualquier ritmo, desde el drill más agresivo hasta el synth-pop o el reguetón.
La lista de colaboradores es de primer nivel (Karol G, Bad Bunny, Rels B), pero es la personalidad y el &#39;barranqueo&#39; de Eladio lo que brilla. Himnos como &#39;Jóvenes Millonarios&#39; o &#39;Mbappé&#39; son prueba de su dominio técnico y su estatus en la escena internacional.","Trap latino;Rap","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item007"
"Lo Mejor De Lo Peor","Kaydy Cain","2019","Lanzado en 2019, este álbum es una cátedra de estilo y códigos callejeros por parte de uno de los padres del trap en España. Kaydy Cain se aleja de la radiofórmula para entregar un sonido crudo, real y fiel a la esencia del &#39;barrio&#39;.
Es un disco que celebra la lealtad y critica la falsedad de la industria, mezclando ritmos de reguetón clásico, salsa y trap. Temas como &#39;Mentiroso&#39; o &#39;Algo como tú&#39; mantienen viva la llama de Pxxr Gvng con una producción que suena a calle y autenticidad.","Trap;Reggaetón;Dancehall","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item008"
"Keoland","Kidd Keo","2018","El álbum que definió la estética &#39;Rockstar&#39; de Kidd Keo en 2018. Fue una apuesta arriesgada que introdujo un sonido trap internacional, caracterizado por el uso del Spanglish y unos bajos potentes diseñados para retumbar en festivales.
Más allá de la controversia, el disco cimentó su base de fans global y su estilo único. Tracks icónicos como &#39;Superstars&#39; o &#39;Pitbull&#39; muestran la energía explosiva y la actitud desafiante que convirtieron a Keo en un referente del trap duro en Europa.","Trap;Hip-hop","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item009"
"Lágrimas desordenadas","Melendi","2012","Publicado el 13 de noviembre de 2012, &#39;Lágrimas desordenadas&#39; supone la reinvención del artista asturiano, dejando atrás su etapa más &#39;canalla&#39; para abrazar un sonido más sofisticado y rockero.
A través de sus 11 canciones, Melendi combina baladas románticas con letras cargadas de ironía y crítica social, destacando éxitos masivos que definieron su nueva etapa musical como &#39;Tu jardín con enanitos&#39;.","Pop;Pop-rock español","","","","","","","image/jpeg","","","","https://sararuizt.github.io/biblioteca-urbana/item.html?id=item010"
